,Unit_ID,ID.X,ID.resp,Study,ID.case,author,pubyear,citation,system,habitat,latitud,longitud,fcl,duration,fert_area,vol,study_typ,temp,Conversion,taxon,tax_resp_cat,tax_resp_typ,tax_resp_unit,con.mn,con.sd,con.n,fert.mn,fert.sd,fert.n,unit.conc.con,n_avail,mode,p_avail,fert.ratio.n,fert..ratio.p,log.fert.rat,n.add.m2,p.add.m2,mode2,LRR,var.LRR,log.n.av,log.p.av,log.n.add,log.p.add,st.n,st.p,st.tot,st.p.add,st.n.add,st.add.tot,X,scale,col,ID.study,ID.case,system,pr.st
49,49,50,176,m2_2_BBH079,50,Havens&&,1996,Freshwater Biology 36:579-597,freshwater,lake,26.5,-80.8,2,3,0.065,20,field,16,succ,phytoplankton,biomass,chlorophyll,microg/L,13.5,3,3,12,0.1,3,µmol L-1,25.71428571,both,1.774193548,2.388888889,1.909971527,0.765202787,18901.0989,1042.664357,both,-0.117783036,0.016484053,3.247046702,0.573345981,9.846975342,6.949534598,NA,1.60951645,NA,-0.371473141,-0.158663568,-0.265068355,-0.265068355,1.45711092,darkblue,BBH079,50,freshwater,-0.274912341
51,51,53,181,m2_2_BBH080,53,Havens&&,1996,Freshwater Biology 36:579-597,freshwater,lake,26.5,-80.8,1,3,0.065,20,field,25,succ,phytoplankton,biomass,chlorophyll,microg/L,8,2,3,6.5,1,3,µmol L-1,28.57142857,both,1.903225806,2.25,1.848278542,0.717419837,19780.21978,1082.36659,both,-0.207639365,0.02872288,3.352407217,0.643550239,9.892437716,6.98690521,NA,1.65854233,NA,-0.360408735,-0.144681522,-0.252545129,-0.252545129,1.425025806,darkblue,BBH080,53,freshwater,-0.262090754
50,50,52,180,m2_2_BBH080,52,Havens&&,1996,Freshwater Biology 36:579-597,freshwater,lake,26.5,-80.8,2,3,0.065,20,field,25,succ,phytoplankton,biomass,chlorophyll,microg/L,5,1.5,3,6,1,3,µmol L-1,28.57142857,both,1.903225806,2.25,1.848278542,0.717419837,19780.21978,1082.36659,both,0.182321557,0.039259259,3.352407217,0.643550239,9.892437716,6.98690521,NA,1.65854233,NA,-0.360408735,-0.144681522,-0.252545129,-0.252545129,1.406970027,darkblue,BBH080,52,freshwater,-0.262090754
53,53,55,185,m2_2_BBH081,55,Havens&&,1996,Freshwater Biology 36:579-597,freshwater,lake,26.5,-80.8,1,3,0.065,20,field,29.5,succ,phytoplankton,biomass,chlorophyll,microg/L,12,2,3,19,4.5,3,µmol L-1,1.428571429,both,0.64516129,26,3.502421699,2.691325171,11428.57143,695.2698161,both,0.459532329,0.02795732,0.356674944,-0.438254931,9.343871765,6.544299995,NA,0.903083166,NA,-0.491451908,-0.313394105,-0.402423007,-0.402423007,1.426586722,darkblue,BBH081,55,freshwater,-0.415539419
52,52,54,184,m2_2_BBH081,54,Havens&&,1996,Freshwater Biology 36:579-597,freshwater,lake,26.5,-80.8,2,3,0.065,20,field,29.5,succ,phytoplankton,biomass,chlorophyll,microg/L,11.5,0.5,3,19,4,3,µmol L-1,1.428571429,both,0.64516129,26,3.502421699,2.691325171,11428.57143,695.2698161,both,0.502091944,0.015403896,0.356674944,-0.438254931,9.343871765,6.544299995,NA,0.903083166,NA,-0.491451908,-0.313394105,-0.402423007,-0.402423007,1.461026825,darkblue,BBH081,54,freshwater,-0.415539419
55,55,57,189,m2_2_BBH082,57,Havens&&,1996,Freshwater Biology 36:579-597,freshwater,lake,26.5,-80.8,1,3,0.065,20,field,28.5,succ,phytoplankton,biomass,chlorophyll,microg/L,18,5,3,22,2.5,3,µmol L-1,3.571428571,both,0.677419355,11,3.383258761,1.972917764,12087.91209,705.1953744,both,0.200670695,0.030024572,1.272965676,-0.389464767,9.399961231,6.558474891,NA,0.937154899,NA,-0.487255113,-0.296143675,-0.391699394,-0.391699394,1.422464886,darkblue,BBH082,57,freshwater,-0.40456032
54,54,56,188,m2_2_BBH082,56,Havens&&,1996,Freshwater Biology 36:579-597,freshwater,lake,26.5,-80.8,2,3,0.065,20,field,28.5,succ,phytoplankton,biomass,chlorophyll,microg/L,14.5,2.5,3,19.5,2,3,µmol L-1,3.571428571,both,0.677419355,11,3.383258761,1.972917764,12087.91209,705.1953744,both,0.296265816,0.013415304,1.272965676,-0.389464767,9.399961231,6.558474891,NA,0.937154899,NA,-0.487255113,-0.296143675,-0.391699394,-0.391699394,1.46901339,darkblue,BBH082,56,freshwater,-0.40456032
56,56,58,192,m2_2_BBH083,58,Havens&&,1996,Freshwater Biology 36:579-597,freshwater,lake,26.5,-80.8,2,3,0.065,20,field,22.5,succ,phytoplankton,biomass,chlorophyll,microg/L,78,8,3,143,10,3,µmol L-1,0.714285714,both,0.903225806,50.99999999,2.78744407,3.291892878,11208.79121,774.6742826,both,0.606135804,0.005136537,-0.336472237,-0.101782695,9.324453679,6.65244266,NA,1.138052495,NA,-0.459433853,-0.319366177,-0.389400015,-0.389400015,1.524482916,darkblue,BBH083,58,freshwater,-0.40220616
57,57,59,193,m2_2_BBH083,59,Havens&&,1996,Freshwater Biology 36:579-597,freshwater,lake,26.5,-80.8,1,3,0.065,20,field,22.5,succ,phytoplankton,biomass,chlorophyll,microg/L,79,1,3,153,6,3,µmol L-1,0.714285714,both,0.903225806,50.99999999,2.78744407,3.291892878,11208.79121,774.6742826,both,0.660990069,0.000566034,-0.336472237,-0.101782695,9.324453679,6.65244266,NA,1.138052495,NA,-0.459433853,-0.319366177,-0.389400015,-0.389400015,1.651915001,darkblue,BBH083,59,freshwater,-0.40220616
58,58,62,200,m2_2_BBH085,62,Havens&&,1996,Freshwater Biology 36:579-597,freshwater,lake,26.5,-80.8,2,3,0.065,20,field,27.5,succ,phytoplankton,biomass,chlorophyll,microg/L,14,1,3,32,3,3,µmol L-1,1.071428571,both,0.322580645,34.33333333,6.004843397,3.004151153,11318.68132,596.014233,both,0.826678573,0.004630368,0.068992871,-1.131402112,9.334209854,6.390264548,NA,0.419036312,NA,-0.537057547,-0.316365646,-0.426711597,-0.426711597,1.530477143,darkblue,BBH085,62,freshwater,-0.440406676
59,59,63,201,m2_2_BBH085,63,Havens&&,1996,Freshwater Biology 36:579-597,freshwater,lake,26.5,-80.8,1,3,0.065,20,field,27.5,succ,phytoplankton,biomass,chlorophyll,microg/L,12,1,3,38,6,3,µmol L-1,1.071428571,both,0.322580645,34.33333333,6.004843397,3.004151153,11318.68132,596.014233,both,1.15267951,0.010625064,0.068992871,-1.131402112,9.334209854,6.390264548,NA,0.419036312,NA,-0.537057547,-0.316365646,-0.426711597,-0.426711597,1.482486489,darkblue,BBH085,63,freshwater,-0.440406676
61,61,65,205,m2_2_BBH086,65,Havens&&,1996,Freshwater Biology 36:579-597,freshwater,lake,26.5,-80.8,1,3,0.065,20,field,30.5,succ,phytoplankton,biomass,chlorophyll,microg/L,25,3,3,48,4,3,µmol L-1,1.428571429,both,0.064516129,26,26.02421699,3.258562141,11428.57143,516.6097665,both,0.652325186,0.007114815,0.356674944,-2.740840024,9.343871765,6.247287786,NA,-0.704885679,NA,-0.579389015,-0.313394105,-0.44639156,-0.44639156,1.505658271,darkblue,BBH086,65,freshwater,-0.460555508
60,60,64,204,m2_2_BBH086,64,Havens&&,1996,Freshwater Biology 36:579-597,freshwater,lake,26.5,-80.8,2,3,0.065,20,field,30.5,succ,phytoplankton,biomass,chlorophyll,microg/L,22,2,3,64,12,3,µmol L-1,1.428571429,both,0.064516129,26,26.02421699,3.258562141,11428.57143,516.6097665,both,1.06784063,0.014473571,0.356674944,-2.740840024,9.343871765,6.247287786,NA,-0.704885679,NA,-0.579389015,-0.313394105,-0.44639156,-0.44639156,1.464626281,darkblue,BBH086,64,freshwater,-0.460555508
62,62,66,208,m2_2_BBH087,66,Havens&&,1996,Freshwater Biology 36:579-597,freshwater,lake,26.5,-80.8,2,3,0.065,20,field,30,succ,phytoplankton,biomass,chlorophyll,microg/L,23,1,3,56,8,3,µmol L-1,0.714285714,both,0.35483871,50.99999999,5.549857634,3.341975504,11208.79121,605.9397913,both,0.889857475,0.007432841,-0.336472237,-1.036091931,9.324453679,6.406780627,NA,0.485594461,NA,-0.532167593,-0.319366177,-0.425766885,-0.425766885,1.503131626,darkblue,BBH087,66,freshwater,-0.439439457
63,63,67,209,m2_2_BBH087,67,Havens&&,1996,Freshwater Biology 36:579-597,freshwater,lake,26.5,-80.8,1,3,0.065,20,field,30,succ,phytoplankton,biomass,chlorophyll,microg/L,22,2.5,3,60,2,3,µmol L-1,0.714285714,both,0.35483871,50.99999999,5.549857634,3.341975504,11208.79121,605.9397913,both,1.003302109,0.004674778,-0.336472237,-1.036091931,9.324453679,6.406780627,NA,0.485594461,NA,-0.532167593,-0.319366177,-0.425766885,-0.425766885,1.529925613,darkblue,BBH087,67,freshwater,-0.439439457
64,64,68,212,m2_2_BBH088,68,Havens&&,1996,Freshwater Biology 36:579-597,freshwater,lake,26.5,-80.8,2,3,0.065,20,field,24.5,succ,phytoplankton,biomass,chlorophyll,microg/L,80,1,3,138,5,3,µmol L-1,0.714285714,both,0.258064516,50.99999999,7.256054247,3.371700842,11208.79121,576.1631163,both,0.54522705,0.000489666,-0.336472237,-1.354545663,9.324453679,6.356390809,NA,0.26320803,NA,-0.547086625,-0.319366177,-0.433226401,-0.433226401,1.660288956,darkblue,BBH088,68,freshwater,-0.447076694
65,65,69,213,m2_2_BBH088,69,Havens&&,1996,Freshwater Biology 36:579-597,freshwater,lake,26.5,-80.8,1,3,0.065,20,field,24.5,succ,phytoplankton,biomass,chlorophyll,microg/L,81,6,3,144,2.5,3,µmol L-1,0.714285714,both,0.258064516,50.99999999,7.256054247,3.371700842,11208.79121,576.1631163,both,0.575364145,0.001929459,-0.336472237,-1.354545663,9.324453679,6.356390809,NA,0.26320803,NA,-0.547086625,-0.319366177,-0.433226401,-0.433226401,1.581057327,darkblue,BBH088,69,freshwater,-0.447076694
66,66,70,216,m2_2_BBH089,70,Havens&&,1996,Freshwater Biology 36:579-597,freshwater,lake,26.5,-80.8,2,3,0.065,20,field,15.5,succ,phytoplankton,biomass,chlorophyll,microg/L,17,1,3,17,1.5,3,µmol L-1,30.71428571,both,1.532258065,2.162790698,2.053651242,0.745844449,20439.56044,968.2226697,both,0,0.003748558,3.424727879,0.426742507,9.925227539,6.875462092,NA,1.507138554,NA,-0.393403963,-0.134596945,-0.264000454,-0.264000454,1.542683977,darkblue,BBH089,70,freshwater,-0.273818998
67,67,71,217,m2_2_BBH089,71,Havens&&,1996,Freshwater Biology 36:579-597,freshwater,lake,26.5,-80.8,1,3,0.065,20,field,15.5,succ,phytoplankton,biomass,chlorophyll,microg/L,19,1,3,19,1.5,3,µmol L-1,30.71428571,both,1.532258065,2.162790698,2.053651242,0.745844449,20439.56044,968.2226697,both,0,0.003000923,3.424727879,0.426742507,9.925227539,6.875462092,NA,1.507138554,NA,-0.393403963,-0.134596945,-0.264000454,-0.264000454,1.555537151,darkblue,BBH089,71,freshwater,-0.273818998
68,68,72,220,m2_2_BBH090,72,Havens&&,1996,Freshwater Biology 36:579-597,freshwater,lake,26.5,-80.8,2,3,0.065,20,field,30.5,succ,phytoplankton,biomass,chlorophyll,microg/L,35,1,3,64,8,3,µmol L-1,7.857142857,both,0.483870968,5.545454545,4.336562265,1.597569441,13406.59341,645.6420245,both,0.603535022,0.005480442,2.061423036,-0.725937003,9.50350191,6.470245209,NA,0.702185571,NA,-0.513377484,-0.264299527,-0.388838505,-0.388838505,1.5207384,darkblue,BBH090,72,freshwater,-0.401631272
69,69,73,221,m2_2_BBH090,73,Havens&&,1996,Freshwater Biology 36:579-597,freshwater,lake,26.5,-80.8,1,3,0.065,20,field,30.5,succ,phytoplankton,biomass,chlorophyll,microg/L,37,3,3,86,14,3,µmol L-1,7.857142857,both,0.483870968,5.545454545,4.336562265,1.597569441,13406.59341,645.6420245,both,0.843429384,0.011024984,2.061423036,-0.725937003,9.50350191,6.470245209,NA,0.702185571,NA,-0.513377484,-0.264299527,-0.388838505,-0.388838505,1.480351629,darkblue,BBH090,73,freshwater,-0.401631272
70,70,74,224,m2_2_BBH091,74,Havens&&,1996,Freshwater Biology 36:579-597,freshwater,lake,26.5,-80.8,2,3,0.065,20,field,29,succ,phytoplankton,biomass,chlorophyll,microg/L,37,4,3,86,14,3,µmol L-1,1.785714286,both,0.064516129,21,26.02421699,3.157515543,11538.46154,516.6097665,both,0.843429384,0.012729391,0.579818495,-2.740840024,9.353441216,6.247287786,NA,-0.704885679,NA,-0.579389015,-0.310451001,-0.444920008,-0.444920008,1.472045816,darkblue,BBH091,74,freshwater,-0.459048896
71,71,75,225,m2_2_BBH091,75,Havens&&,1996,Freshwater Biology 36:579-597,freshwater,lake,26.5,-80.8,1,3,0.065,20,field,29,succ,phytoplankton,biomass,chlorophyll,microg/L,41,2,3,117,3,3,µmol L-1,1.785714286,both,0.064516129,21,26.02421699,3.157515543,11538.46154,516.6097665,both,1.048601868,0.001012333,0.579818495,-2.740840024,9.353441216,6.247287786,NA,-0.704885679,NA,-0.579389015,-0.310451001,-0.444920008,-0.444920008,1.618324228,darkblue,BBH091,75,freshwater,-0.459048896
73,73,77,229,m2_2_BBH092,77,Havens&&,1996,Freshwater Biology 36:579-597,freshwater,lake,26.5,-80.8,1,3,0.065,20,field,29,succ,phytoplankton,biomass,chlorophyll,microg/L,21,3,3,56,7,3,µmol L-1,0.714285714,both,0.064516129,50.99999999,26.02421699,3.650972698,11208.79121,516.6097665,both,0.980829253,0.012011054,-0.336472237,-2.740840024,9.324453679,6.247287786,NA,-0.704885679,NA,-0.579389015,-0.319366177,-0.449377596,-0.449377596,1.475402019,darkblue,BBH092,77,freshwater,-0.463612685
72,72,76,228,m2_2_BBH092,76,Havens&&,1996,Freshwater Biology 36:579-597,freshwater,lake,26.5,-80.8,2,3,0.065,20,field,29,succ,phytoplankton,biomass,chlorophyll,microg/L,23,2,3,68,4,3,µmol L-1,0.714285714,both,0.064516129,50.99999999,26.02421699,3.650972698,11208.79121,516.6097665,both,1.084013489,0.003673881,-0.336472237,-2.740840024,9.324453679,6.247287786,NA,-0.704885679,NA,-0.579389015,-0.319366177,-0.449377596,-0.449377596,1.543846655,darkblue,BBH092,76,freshwater,-0.463612685
75,75,81,286,m2_2_BBH152,81,Gonzalez,2000,Hydrobiologia 434:81-96,freshwater,lake,9.54,-65.15,2,6.5,0.138542796,10,field,NA,succ,phytoplankton,biomass,chlorophyll,microg/L,23.2,12,3,181.1,79.2,3,µmol L-1,6.464285714,both,0.077419355,24.20441989,130.1666667,4.346212176,11293.57067,727.3867459,both,2.054897086,0.152931312,1.866292521,-2.558518465,9.331988876,6.589458311,NA,-0.5775647,NA,-0.478081779,-0.317048712,-0.397565245,-0.397565245,1.328401063,darkblue,BBH152,81,freshwater,-0.410565923
74,74,80,284,m2_2_BBH152,80,Gonzalez,2000,Hydrobiologia 434:81-96,freshwater,lake,9.54,-65.15,1,6.5,0.138542796,10,field,NA,succ,phytoplankton,biomass,chlorophyll,microg/L,14.9,8.1,3,147.9,47.6,3,µmol L-1,6.464285714,both,0.077419355,24.20441989,130.1666667,4.346212176,11293.57067,727.3867459,both,2.295175157,0.133035874,1.866292521,-2.558518465,9.331988876,6.589458311,NA,-0.5775647,NA,-0.478081779,-0.317048712,-0.397565245,-0.397565245,1.336453828,darkblue,BBH152,80,freshwater,-0.410565923
76,76,116,486,m2_2_DSG002,116,Gruner,2004,Ecology 85:3010-3022,terrestrial,forest,19.664,-155.284,4,990,400,NA,field,NA,fert.fact.miss,vascular plants,biomass,biomass,g/g,0.43,0.357,8,0.152,0.103,8,none,NA,none,NA,NA,NA,NA,1937377.691,874944.7636,both,-1.039904688,0.143558832,NA,NA,14.47684591,13.68191604,NA,NA,NA,1.621798955,1.265262619,1.443530787,1.443530787,1.332055282,darkgreen,DSG002,116,terrestrial,1.474393565
79,79,119,494,m2_2_DSG002,119,Gruner,2004,Ecology 85:3010-3022,terrestrial,forest,19.664,-155.284,4,990,400,NA,field,NA,fert.fact.miss,vascular plants,biomass,biomass,g/g,0.446,0.405,8,0.382,0.215,8,none,NA,none,NA,NA,NA,NA,1937377.691,874944.7636,both,-0.154898343,0.142671098,NA,NA,14.47684591,13.68191604,NA,NA,NA,1.621798955,1.265262619,1.443530787,1.443530787,1.332413687,darkgreen,DSG002,119,terrestrial,1.474393565
77,77,117,490,m2_2_DSG002,117,Gruner,2004,Ecology 85:3010-3022,terrestrial,forest,19.664,-155.284,4,990,400,NA,field,NA,fert.fact.miss,vascular plants,biomass,biomass,g/g,0.977,0.44,8,0.886,0.362,8,none,NA,none,NA,NA,NA,NA,1937377.691,874944.7636,both,-0.097769701,0.046219803,NA,NA,14.47684591,13.68191604,NA,NA,NA,1.621798955,1.265262619,1.443530787,1.443530787,1.397539161,darkgreen,DSG002,117,terrestrial,1.474393565
78,78,118,492,m2_2_DSG002,118,Gruner,2004,Ecology 85:3010-3022,terrestrial,forest,19.664,-155.284,3,990,400,NA,field,NA,fert.fact.miss,vascular plants,biomass,biomass,g/g,0.13,0.132,8,0.442,0.288,8,none,NA,none,NA,NA,NA,NA,1937377.691,874944.7636,both,1.223775432,0.181945906,NA,NA,14.47684591,13.68191604,NA,NA,NA,1.621798955,1.265262619,1.443530787,1.443530787,1.318363538,darkgreen,DSG002,118,terrestrial,1.474393565
81,81,121,565,m2_2_DSG017,121,Gough&Grace,1998,Ecology 79:1586-1594,terrestrial,wetland,30.5,-89.75,2,700,1,NA,field,NA,fert.fact.miss,vascular plants,biomass,biomass,g/m2,969.8840098,312.5274761,8,1650.769266,723.5260801,8,none,NA,none,NA,NA,NA,NA,2328767.123,525850.6407,both,0.531820193,0.036992124,NA,NA,14.66084955,13.1727725,NA,NA,NA,1.471055624,1.321853317,1.39645447,1.39645447,1.410406898,darkgreen,DSG017,121,terrestrial,1.426195672
80,80,120,564,m2_2_DSG017,120,Gough&Grace,1998,Ecology 79:1586-1594,terrestrial,wetland,30.5,-89.75,1,700,1,NA,field,NA,fert.fact.miss,vascular plants,biomass,biomass,g/m2,873.6862979,180.8816576,8,1682.406891,493.2176402,8,none,NA,none,NA,NA,NA,NA,2328767.123,525850.6407,both,0.655259336,0.016100808,NA,NA,14.66084955,13.1727725,NA,NA,NA,1.471055624,1.321853317,1.39645447,1.39645447,1.458470131,darkgreen,DSG017,120,terrestrial,1.426195672
82,82,122,572,m2_2_DSG018,122,Gough&Grace,1998,Ecology 79:1586-1594,terrestrial,wetland,30.5,-89.75,1,700,1,NA,field,NA,fert.fact.miss,vascular plants,biomass,biomass,g/m2,1360.00027,662.6599726,8,1382.857634,355.5734472,8,none,NA,none,NA,NA,NA,NA,2328767.123,525850.6407,both,0.016667209,0.037941001,NA,NA,14.66084955,13.1727725,NA,NA,NA,1.471055624,1.321853317,1.39645447,1.39645447,1.408943492,darkgreen,DSG018,122,terrestrial,1.426195672
83,83,123,573,m2_2_DSG018,123,Gough&Grace,1998,Ecology 79:1586-1594,terrestrial,wetland,30.5,-89.75,2,700,1,NA,field,NA,fert.fact.miss,vascular plants,biomass,biomass,g/m2,1017.143461,371.7360078,8,1394.286212,1002.070561,8,none,NA,none,NA,NA,NA,NA,2328767.123,525850.6407,both,0.315384438,0.081261925,NA,NA,14.66084955,13.1727725,NA,NA,NA,1.471055624,1.321853317,1.39645447,1.39645447,1.364935838,darkgreen,DSG018,123,terrestrial,1.426195672
86,86,134,694,m2_2_DSG046,134,Swank&Oechel,1991,Ecology 72:104-115,terrestrial,shrubland,41.117,-116.84,1,240,0.25,NA,field,NA,fert.fact.miss,vascular plants,biomass,cover,%cover,46,19.5,3,79,49,3,none,NA,none,NA,NA,NA,NA,428571.4286,322580.6452,both,0.540806456,0.188138752,NA,NA,12.9682127,12.68410845,NA,NA,NA,1.326375702,0.801279381,1.063827541,1.063827541,1.316429632,darkgreen,DSG046,134,terrestrial,1.085644025
85,85,133,692,m2_2_DSG046,133,Swank&Oechel,1991,Ecology 72:104-115,terrestrial,shrubland,41.117,-116.84,2,240,0.25,NA,field,NA,fert.fact.miss,vascular plants,biomass,biomass,g/m2,0.06,0.03,6,0.12,0.07,6,none,NA,none,NA,NA,NA,NA,428571.4286,322580.6452,both,0.693147181,0.09837963,NA,NA,12.9682127,12.68410845,NA,NA,NA,1.326375702,0.801279381,1.063827541,1.063827541,1.353890886,darkgreen,DSG046,133,terrestrial,1.085644025
84,84,132,690,m2_2_DSG046,132,Swank&Oechel,1991,Ecology 72:104-115,terrestrial,shrubland,41.117,-116.84,1,240,0.25,NA,field,NA,fert.fact.miss,vascular plants,biomass,biomass,g/m2,0.56,0.38,6,1.16,0.62,6,none,NA,none,NA,NA,NA,NA,428571.4286,322580.6452,both,0.7282385,0.124355167,NA,NA,12.9682127,12.68410845,NA,NA,NA,1.326375702,0.801279381,1.063827541,1.063827541,1.340352636,darkgreen,DSG046,132,terrestrial,1.085644025
87,87,135,696,m2_2_DSG046,135,Swank&Oechel,1991,Ecology 72:104-115,terrestrial,shrubland,41.117,-116.84,2,240,0.25,NA,field,NA,fert.fact.miss,vascular plants,biomass,cover,%cover,21,19.6,3,46,24.5,3,none,NA,none,NA,NA,NA,NA,428571.4286,322580.6452,both,0.784118959,0.384927711,NA,NA,12.9682127,12.68410845,NA,NA,NA,1.326375702,0.801279381,1.063827541,1.063827541,1.275066522,darkgreen,DSG046,135,terrestrial,1.085644025
90,90,143,766,m2_2_DSG055,143,Buckland&Grime,2000,Oikos 91:336-352,terrestrial,herbaceous,54.05,-1.25,3,520,0.56,NA,field,NA,succ,vascular plants,biomass,biomass,g,13.82256579,2.635436826,8,89.85415457,27.71825556,8,µmol g-1,51.02040816,both,11.52073733,25.00000001,25.00000001,3.218875825,1275510.204,288018.4332,both,1.871885392,0.016439024,3.932225713,2.444148658,14.05885682,12.57077976,0.722303493,1.009251179,0.865777336,1.29282221,1.136709216,1.214765713,1.214765713,1.457268974,darkgreen,DSG055,143,terrestrial,1.240178245
89,89,142,765,m2_2_DSG055,142,Buckland&Grime,2000,Oikos 91:336-352,terrestrial,herbaceous,54.05,-1.25,2,520,0.56,NA,field,NA,succ,vascular plants,biomass,biomass,g,12.01035122,1.319917911,8,98.31005371,35.63775678,8,µmol g-1,51.02040816,both,11.52073733,25.00000001,25.00000001,3.218875825,1275510.204,288018.4332,both,2.102357418,0.017935821,3.932225713,2.444148658,14.05885682,12.57077976,0.722303493,1.009251179,0.865777336,1.29282221,1.136709216,1.214765713,1.214765713,1.452233939,darkgreen,DSG055,142,terrestrial,1.240178245
88,88,141,764,m2_2_DSG055,141,Buckland&Grime,2000,Oikos 91:336-352,terrestrial,herbaceous,54.05,-1.25,1,520,0.56,NA,field,NA,succ,vascular plants,biomass,biomass,g,12.06477937,5.279671875,8,130.5656686,21.11867009,8,µmol g-1,51.02040816,both,11.52073733,25.00000001,25.00000001,3.218875825,1275510.204,288018.4332,both,2.381585896,0.02720813,3.932225713,2.444148658,14.05885682,12.57077976,0.722303493,1.009251179,0.865777336,1.29282221,1.136709216,1.214765713,1.214765713,1.428156207,darkgreen,DSG055,141,terrestrial,1.240178245
92,92,145,786,m2_2_DSG056,145,Cottingham&&,1997,J Plankton Res 19:995-1010,freshwater,lake,46.25,-89.5,2,63,1,2000,field,18,succ,phytoplankton,biomass,chlorophyll,microg/L,3.853180346,1.439913496,3,9.488149681,6.460320349,3,µmol L-1,NA,p,0.355,NA,12.46043186,2.522558173,360000,8136.906624,both,0.901144747,0.201083182,NA,-1.03563749,12.79385931,9.004165365,NA,0.485911811,0.485911811,0.23684625,0.747656639,0.492251445,0.492251445,1.312585031,darkblue,DSG056,145,freshwater,0.500450332
91,91,144,782,m2_2_DSG056,144,Cottingham&&,1997,J Plankton Res 19:995-1010,freshwater,lake,46.25,-89.5,1,63,1,2000,field,18,succ,phytoplankton,biomass,chlorophyll,microg/L,4.393200494,1.841346624,3,24.24232412,23.08786501,3,µmol L-1,NA,p,0.355,NA,12.46043186,2.522558173,360000,8136.906624,both,1.708042033,0.360899727,NA,-1.03563749,12.79385931,9.004165365,NA,0.485911811,0.485911811,0.23684625,0.747656639,0.492251445,0.492251445,1.278790738,darkblue,DSG056,144,freshwater,0.500450332
96,96,149,805,m2_2_DSG059,149,Chase&Knight,2006,Biol Invas 8:1643-1649,freshwater,lake,38.517,-90.55,2,730,2.03573088,1000,field,NA,succ,macrophytes,biomass,biomass,g/kL,72.26,27.99391322,10,74.96,36.80681136,10,µmol L-1,14.28571429,both,0.322580645,10,10,2.302585093,70174.86656,1584.593761,both,0.036683912,0.039118295,2.659260037,-1.131402112,11.1587455,7.368083351,NA,0.419036312,NA,-0.247552422,0.244774034,-0.001389194,-0.001389194,1.407177865,darkblue,DSG059,149,freshwater,-0.004951119
95,95,148,796,m2_2_DSG059,148,Chase&Knight,2006,Biol Invas 8:1643-1649,freshwater,lake,38.517,-90.55,1,730,2.03573088,1000,field,NA,succ,macrophytes,biomass,biomass,g/kL,64.95,15.55218349,10,82.6,29.79067357,10,µmol L-1,14.28571429,both,0.322580645,10,10,2.302585093,70174.86656,1584.593761,both,0.240391937,0.018741262,2.659260037,-1.131402112,11.1587455,7.368083351,NA,0.419036312,NA,-0.247552422,0.244774034,-0.001389194,-0.001389194,1.449695807,darkblue,DSG059,148,freshwater,-0.004951119
94,94,147,793,m2_2_DSG059,147,Chase&Knight,2006,Biol Invas 8:1643-1649,freshwater,lake,38.517,-90.55,2,730,2.03573088,1000,field,NA,succ,periphyton,biomass,biomass,g/kL,6.65988011,5.670066974,10,15.88119965,18.6302185,10,µmol L-1,14.28571429,both,0.322580645,10,10,2.302585093,70174.86656,1584.593761,both,0.869034515,0.210100347,2.659260037,-1.131402112,11.1587455,7.368083351,NA,0.419036312,NA,-0.247552422,0.244774034,-0.001389194,-0.001389194,1.310050431,darkblue,DSG059,147,freshwater,-0.004951119
93,93,146,790,m2_2_DSG059,146,Chase&Knight,2006,Biol Invas 8:1643-1649,freshwater,lake,38.517,-90.55,1,730,2.03573088,1000,field,NA,succ,periphyton,biomass,biomass,g/kL,13.31968613,5.670066539,10,98.87296778,44.55051146,10,µmol L-1,14.28571429,both,0.322580645,10,10,2.302585093,70174.86656,1584.593761,both,2.004592771,0.038423791,2.659260037,-1.131402112,11.1587455,7.368083351,NA,0.419036312,NA,-0.247552422,0.244774034,-0.001389194,-0.001389194,1.408212897,darkblue,DSG059,146,freshwater,-0.004951119
97,97,151,910,m2_2_EEC002,151,Tate,1990,Ecology 71:2007-2029,freshwater,stream,39.05,-96.35,1,12,0.0139,7.5,field,24.5,succ,periphyton,biomass,biomass,microg/cm2,669.474,32.81803268,3,2096.84,448.5145566,3,µmol L-1,0.178571429,both,0.064516129,24.8,8.508233774,2.812657446,2389.516958,296.1789432,both,1.141694399,0.01605211,-1.722766595,-2.740840024,7.778846515,5.69096381,NA,-0.704885679,NA,-0.744101171,-0.79472083,-0.769411001,-0.769411001,1.458645155,darkblue,EEC002,151,freshwater,-0.791270771
98,98,160,972,m2_2_EEC014,160,Haag,1974,Can J Bot 52:103-116,terrestrial,tundra,69.26,-133.01,1,56,1,NA,field,15.5,fert.fact.miss,vascular plants,biomass,aboveground biomass,g/m2,61.5,4.3,2,106.7,7.7,2,none,NA,none,NA,NA,NA,NA,219178.0822,98983.65002,both,0.550983983,0.005048202,NA,NA,12.29763984,11.50270996,NA,NA,NA,0.976596259,0.595043323,0.785819791,0.785819791,1.525485213,darkgreen,EEC014,160,terrestrial,0.801012839
