,Unit_ID,ID.X,row,ID,Study,Invader.name,GROWTHFORM,ECOSYSTEMS,IMPACT,Mean,SD,N,Mean.1,SD.1,N.1,cause.hedges,cause.LRR,LRR,var.LRR,X,var.LRR,scale,col,row,Citation,pr.st
65,65,263,263,NA,m11_1_Zhou et al. 2008,Asparagus asparagoides ,herb,lab,nutrients,5.1,1.7,6,61.9,7.6,6,10.31449408,2.49627964,0.034486176,0,0.929896384,0.002019469,1.515387458,darkgreen,255,Turner et al. 2011,0.145511603
49,49,247,247,NA,m11_1_Zhou et al. 2008,Asparagus asparagoides ,herb,lab,nutrients,5.1,1.7,6,61.9,7.6,6,10.31449408,2.49627964,0.693147181,0,0.940983344,0.001047631,1.547726319,darkgreen,259,Turner et al. 2011,0.145511603
53,53,251,251,NA,m11_1_Zhou et al. 2008,Asparagus asparagoides ,herb,lab,nutrients,5.1,1.7,6,61.9,7.6,6,10.31449408,2.49627964,0.916290732,0.00462963,-0.851778824,0.000340025,1.603173058,darkgreen,218,Mitchell et al. 2011,0.164000634
57,57,255,255,NA,m11_1_Zhou et al. 2008,Asparagus asparagoides ,herb,lab,nutrients,5.1,1.7,6,61.9,7.6,6,10.31449408,2.49627964,0.929896384,0.002019469,-0.14698219,0.492384125,1.244555144,darkgreen,209,Larkin et al. 2012,0.234590061
61,61,259,259,NA,m11_1_Zhou et al. 2008,Asparagus asparagoides ,herb,lab,nutrients,5.1,1.7,6,61.9,7.6,6,10.31449408,2.49627964,0.940983344,0.001047631,0.139761942,0.005040958,1.47031325,darkgreen,246,Turner et al. 2011,0.272625694
43,43,218,218,NA,m11_1_Zhou et al. 2008,Typha x glauca(>= 35),herb,wetlands,litter,2.14,1.83,60,28.9,1.99,60,13.9981978,2.603035766,-0.851778824,0.000340025,0.030771659,0.002842254,1.498547346,darkgreen,250,Turner et al. 2011,0.272625694
40,40,209,209,26,m11_1_Dehlin et al. 2008,Typha x glauca,herb,wetlands,nutrients,NA,NA,NA,19.3,3.1,NA,NA,3.010620886,-0.14698219,0.492384125,-0.125454306,0.001249052,1.539061269,darkgreen,254,Turner et al. 2011,0.272625694
56,56,254,254,NA,m11_1_Dehlin et al. 2008,Asparagus asparagoides ,herb,lab,nutrients,2.1,1.7,6,53.1,7.6,6,9.261253487,3.230239584,-0.125454306,0.001249052,0,0.000765228,1.563204002,darkgreen,258,Turner et al. 2011,0.272625694
64,64,262,262,NA,m11_1_Dehlin et al. 2008,Asparagus asparagoides ,herb,lab,nutrients,2.1,1.7,6,53.1,7.6,6,9.261253487,3.230239584,-0.015504187,0,0.374838451,0.005196534,1.468815523,darkgreen,25,Niu et al. 2007,0.293956938
60,60,258,258,NA,m11_1_Dehlin et al. 2008,Asparagus asparagoides ,herb,lab,nutrients,2.1,1.7,6,53.1,7.6,6,9.261253487,3.230239584,0,0.000765228,-0.044451763,0.03460516,1.375390966,darkgreen,248,Turner et al. 2011,0.325470981
52,52,250,250,NA,m11_1_Dehlin et al. 2008,Asparagus asparagoides ,herb,lab,nutrients,2.1,1.7,6,53.1,7.6,6,9.261253487,3.230239584,0.030771659,0.002842254,0.432133355,0.006229483,1.459882025,darkgreen,252,Turner et al. 2011,0.325470981
48,48,246,246,NA,m11_1_Dehlin et al. 2008,Asparagus asparagoides ,herb,lab,nutrients,2.1,1.7,6,53.1,7.6,6,9.261253487,3.230239584,0.139761942,0.005040958,0.226364166,0.004539413,1.475477117,darkgreen,256,Turner et al. 2011,0.325470981
1,1,25,25,5,m11_1_Dehlin et al. 2008,Ageratina adenophora,herb,grasslands,nutrients,0,NA,NA,27.6,NA,NA,NA,3.353406718,0.374838451,0.005196534,0.430782916,0.003991069,1.481820617,darkgreen,260,Turner et al. 2011,0.325470981
50,50,248,248,NA,m11_1_Dehlin et al. 2008,Asparagus asparagoides ,herb,lab,nutrients,1.3,0.9,6,44.6,5.5,6,10.98758299,3.535369595,-0.044451763,0.03460516,-0.015037877,7.54E-05,1.677397609,darkgreen,264,Turner et al. 2011,0.325470981
66,66,264,264,NA,m11_1_Dehlin et al. 2008,Asparagus asparagoides ,herb,lab,nutrients,1.3,0.9,6,44.6,5.5,6,10.98758299,3.535369595,-0.015037877,7.54E-05,0.065957968,0.003101512,1.494246079,darkgreen,26,Niu et al. 2007,0.444465091
58,58,256,256,NA,m11_1_Dehlin et al. 2008,Asparagus asparagoides ,herb,lab,nutrients,1.3,0.9,6,44.6,5.5,6,10.98758299,3.535369595,0.226364166,0.004539413,1.442383828,0.018187034,1.407088803,darkgreen,245,Turner et al. 2011,0.512472408
62,62,260,260,NA,m11_1_Dehlin et al. 2008,Asparagus asparagoides ,herb,lab,nutrients,1.3,0.9,6,44.6,5.5,6,10.98758299,3.535369595,0.430782916,0.003991069,1.810108608,0.027087202,1.387460277,darkgreen,249,Turner et al. 2011,0.512472408
54,54,252,252,NA,m11_1_Dehlin et al. 2008,Asparagus asparagoides ,herb,lab,nutrients,1.3,0.9,6,44.6,5.5,6,10.98758299,3.535369595,0.432133355,0.006229483,1.055594904,0.007495095,1.450768479,darkgreen,253,Turner et al. 2011,0.512472408
2,2,26,26,NA,m11_1_Shannon et al. 2012,Ageratina adenophora,herb,grasslands,nutrients,0,NA,NA,67.2,NA,NA,NA,4.222444565,0.065957968,0.003101512,0.587786665,0.003140741,1.49362675,darkgreen,257,Turner et al. 2011,0.512472408
63,63,261,261,NA,m11_1_Smith & Reynlods 2012,Asparagus asparagoides ,herb,lab,nutrients,0.4,0,6,40.4,1.3,6,43.51426346,4.615120517,0.045809536,0.000311272,0.045809536,0.000311272,1.607526539,darkgreen,261,Turner et al. 2011,0.512472408
59,59,257,257,NA,Turner et al. 2011,Asparagus asparagoides ,herb,lab,nutrients,0.4,0,6,40.4,1.3,6,43.51426346,4.615120517,0.587786665,0.003140741,,,,,,,
55,55,253,253,NA,Turner et al. 2011,Asparagus asparagoides ,herb,lab,nutrients,0.4,0,6,40.4,1.3,6,43.51426346,4.615120517,1.055594904,0.007495095,,,,,,,
47,47,245,245,34,Turner et al. 2011,Asparagus asparagoides ,herb,lab,nutrients,0.4,0,6,40.4,1.3,6,43.51426346,4.615120517,1.442383828,0.018187034,,,,,,,
51,51,249,249,NA,Turner et al. 2011,Asparagus asparagoides ,herb,lab,nutrients,0.4,0,6,40.4,1.3,6,43.51426346,4.615120517,1.810108608,0.027087202,,,,,,,
